source_id,title,authors,year,venue,doi_or_url,local_path,source_type,access_status,review_status,support_level,scope,notes
ZHANG-2025-GRLR,"GRLR: Routing With Graph Neural Network and Reinforcement Learning for Mega LEO Satellite Constellations","Zhang, Senbai; Liu, Aijun; Han, Chen; et al.",2025,"IEEE Transactions on Vehicular Technology 74(2):3225-3237","https://doi.org/10.1109/TVT.2024.3471658","related-work-notes/papers-txt/Zhang_等_-_2025_-_GRLR_Routing_With_Graph_Neural_Network_and_Reinforcement_Learning_for_Mega_LEO_Satellite_Constellat.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: GNN feature extractor + Actor-Critic distributed hop-by-hop; Walker-Delta mega-constellation; 4 stable ISLs.","常见基线;队列/AoI未建模;S/A/R字段未逐条核对;代码未验证。"
CHU-2023-RRSDRL,"A Robust Routing Strategy Based on Deep Reinforcement Learning for Mega Satellite Constellations","Chu, Ke; Cheng, Sixi; Zhu, Lidong",2023,"Electronics Letters (IET)","https://doi.org/10.1049/ell2.12820","",journal_paper,online,fulltext_checked,directly_related,"A: hop-by-hop DQN; reward = distance-to-dest + next-hop AoI + queue growth rate; Starlink 175-sat sim; jamming scenarios.","AoI入奖励的罕见先例;状态空间极简(无链路状态/邻居队列);无公开代码。"
CHOU-2026-STL,"Spatial-Temporal Learning-Based Distributed Routing for Dynamic LEO Satellite Networks","Chou, Po-Heng; Wang, Chiapin; Chen, Shou-Yu; Wang, Hsiang-Ming",2026,"arXiv:2605.02413","https://arxiv.org/abs/2605.02413","",preprint,online,preprint_fulltext_checked,directly_related,"A: POMDP; state=[local queue, neighbor link delay, topology features]; reward -(aD+bQ), b>a; GAT+LSTM+DQN; baselines incl. GraphPR.","仅预印本;45星规模小;状态设计与本研究要素最接近;无代码。"
WEIL-2024-RMP,"Towards Generalizability of Multi-Agent Reinforcement Learning in Graphs with Recurrent Message Passing","Weil, Jannis; Bao, Zhenghua; Abboud, Osama; Meuser, Tobias",2024,"AAMAS 2024","https://arxiv.org/abs/2402.05027","",conference_paper,online,metadata_and_abstract_checked,method_foundation,"C/B: recurrent message passing for partial/outdated observations; node LSTM + K-round neighbor messaging; 1000-graph eval; code public (jw3il/graph-marl).","陈旧观测机制核心文献;场景为通用有线图非LEO;链路/队列特征简化。"
LYU-2024-CMADR,"Dynamic Routing for Integrated Satellite-Terrestrial Networks: A Constrained Multi-Agent Reinforcement Learning Approach","Lyu, Yifeng; Hu, Han; Fan, Rongfei; et al.",2024,"IEEE Journal on Selected Areas in Communications 42(5):1204-1218","https://doi.org/10.1109/JSAC.2024.3365869","related-work-notes/papers-txt/Lyu_等_-_2023_-_Dynamic_Routing_for_Integrated_Satellite-Terrestrial_Networks_A_Constrained_Multi-Agent_Reinforceme.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: constrained MARL (Lagrangian) packet routing in ISTN; OneWeb/Telesat; delay -21%/15% vs baselines.","地面站参与转发非纯天基;队列建模细节需读全文;无AoI。"
CHEN-2025-TMIX,"A Distributed Routing Algorithm for LEO Satellite Networks: A Multiagent Transformer-MIX Learning Approach","Chen, Xiao; Ji, Zhe; Wu, Sheng; Jia, Haoge; Xiao, Ailing; Jiang, Chunxiao",2025,"IEEE Internet of Things Journal 12(11):15748-15763","https://doi.org/10.1109/JIOT.2025.3530919","",journal_paper,online,metadata_verified_multi_source,directly_related,"A: CTDE multiagent Transformer-MIX; local obs next-hop; ISL failure 18% robustness eval; E2E delay -13.6%.","attention表示与GNN路线相邻;队列刻画弱于GraphPR;代码未验证。"
RAO-2025-DGAT,"Dynamic LEO Satellite Routing Approach Based on Deep Graph Attention and Incremental Evolutionary Reinforcement Learning","Rao, Zheheng; Zhu, Zhenyu; Niyato, Dusit; Yao, Ye; Xu, Yanyan; Cheng, Yanyu",2025,"IEEE Internet of Things Journal 12(23):50126-50142","https://ieeexplore.ieee.org/abstract/document/11165344/","related-work-notes/papers-txt/Rao_等_-_2025_-_Dynamic_LEO_Satellite_Routing_Approach_Based_on_Deep_Graph_Attention_and_Incremental_Evolutionary_Re.pdf.txt",journal_paper,online_and_local,metadata_partially_verified,directly_related,"A: deep graph attention + incremental evolutionary RL for dynamic LEO routing.","DOI后缀未验证;摘要未直接核对;引用前须取原文确认。"
XIANG-2025-MATGCIR,"MATGCIR: Distributed Dynamic Routing for LEO Satellite Networks With Temporal Graph Convolutions and Imitation Acceleration","Xiang, Junyan; He, Xiaohe; Zhao, Yu; Xie, Zhuochen; Liang, Xuwen",2025,"IEEE Communications Letters 29(11):2521-2525","", "",journal_paper,online,metadata_partially_verified,directly_related,"A: MARL + temporal graph convolution for topology evolution; imitation pretraining from shortest-path rules.","DOI未验证(dblp已核对书目);细节未核对。"
BAI-2025-GRLRR,"GRL-RR: A Graph Reinforcement Learning-based Resilient Routing Framework for Software-Defined LEO Mega-Constellations","Bai, Luxin; Ma, Hailong; Jiang, Yiming; et al.",2025,"Computer Networks 259:111089","https://doi.org/10.1016/j.comnet.2025.111089","related-work-notes/papers-txt/Bai_等_-_2025_-_GRL-RR_A_Graph_Reinforcement_Learning-based_resilient_routing_framework_for_software-defined_LEO_me.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: SDN domain partition + GNN-DRL link-weight routing; cascading failure model; Starlink/OneWeb sim.","集中式控制域+链路权重粒度,非逐跳包级;重点失效韧性非拥塞;无AoI。"
HUANG-2024-GMR,"A GNN-Enabled Multipath Routing Algorithm for Spatial-Temporal Varying LEO Satellite Networks","Huang, Yunxue; Yang, Dong; Feng, Bohao; et al.",2024,"IEEE Transactions on Vehicular Technology 73(4):5454-5468","https://doi.org/10.1109/TVT.2023.3333848","related-work-notes/papers-txt/Huang_等_-_2024_-_A_GNN-Enabled_Multipath_Routing_Algorithm_for_Spatial-Temporal_Varying_LEO_Satellite_Networks.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: link-disjoint multipath + GNN path-quality traffic splitting; NS-3; cross-constellation generalization.","集中式多径TE非逐跳;RL成分不明确;无拥塞/部分观测/AoI。"
HAN-2024-DMR,"Deep Reinforcement Learning-Based Multipath Routing for LEO Megaconstellation Networks","Han, C.; Xiong, W.; Yu, R.",2024,"Electronics (MDPI) 13(15):3054","https://doi.org/10.3390/electronics13153054","related-work-notes/papers-txt/Han_2024_Deep_Reinforcement_Learning_Based_Multipath_Routing_for_LEO_Megaconstellation_Networks.pdf.txt",journal_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: GNN+PPO traffic splitting over k-paths; NS-3 Iridium/OneWeb; cross-scale generalization w/o retraining.","集中式NCC流量工程;无队列/陈旧建模;代码非公开。"
SORET-2024-QLEARN,"Q-learning for Distributed Routing in LEO Satellite Constellations","Soret, Beatriz; Leyva-Mayorga, Israel; Lozano-Cuadra, Federico; Thorsager, Mathias D.",2024,"IEEE ICMLCN 2024:208-213","https://doi.org/10.1109/ICMLCN59089.2024.10624807","related-work-notes/papers-txt/Soret_2023_Q_Learning_for_Distributed_Routing_in_LEO_Satellite_Constellations_preprint.pdf.txt",conference_paper,online_and_local,metadata_verified_multi_source,directly_related,"A: tabular Q-routing modernized; multi-agent POMDP; propagation+queueing delay reward; genie shortest-path upper bound baseline.","MA-DRL系列直接前身;tabular扩展性差;无GNN。"
WANG-2021-GROUTING,"GRouting: Dynamic Routing for LEO Satellite Networks with Graph-based Deep Reinforcement Learning","Wang, Hao; Ran, Yongyi; Zhao, Lei; et al.",2021,"IEEE HotICN 2021:123-128","https://doi.org/10.1109/HotICN53262.2021.9680855","",conference_paper,online,fulltext_checked,directly_related,"A: line-graph MPNN + DQN over k-shortest-path candidates; link features residual capacity/used bw/betweenness; Iridium+VN.","GraphPR同团队前作;路径级动作非逐跳;时延用跳数近似;无公开代码。"
DONG-2023-DQNLLRA,"DRL-Based Load-Balancing Routing Scheme for 6G Space-Air-Ground Integrated Networks","Dong, Feihu; Song, Jiaxin; Zhang, Yasheng; et al.",2023,"Remote Sensing (MDPI) 15(11):2801","https://doi.org/10.3390/rs15112801","",journal_paper,online,fulltext_checked,directly_related,"A: hop-by-hop DQN; state incl. neighbor queue utilization + link delay/bw + hops-to-dest; Iridium 72; queue util -8%/-15% vs Dijkstra.","queue-aware状态/奖励可直接对照;链路参数随机生成;千星级收敛退化(作者自承)。"
SHI-2024-GNNDQN,"Low Earth Orbit Satellite Network Routing Algorithm Based on Graph Neural Networks and Deep Q-Network","Shi, Yuanji; Wang, Weian; Zhu, Xiaorong; Zhu, Hongbo",2024,"Applied Sciences (MDPI) 14(9):3840","https://doi.org/10.3390/app14093840","",journal_paper,online,fulltext_checked,directly_related,"A: GraphSAGE node embedding + DQN hop-by-hop; reward a*rate - b*delay; node-failure generalization test.","训练/评估用地面NSFNet而非真实星座动力学;无队列/丢包/AoI。"
LIAQ-2026-QARR,"Queue-Aware and Resilient Routing in LEO Satellite Networks Using Multi-Agent Reinforcement Learning","Liaq, Mudassar; Tajeri, Mahyar; Hu, Peng",2026,"arXiv:2605.04448","https://arxiv.org/abs/2605.04448","",preprint,online,preprint_fulltext_checked,directly_related,"A: per-sat DDQN; state=coords+neighbor queues+dest coords+resilience score; Starlink shell1 1584 sat; baselines Dijkstra/SARSA.","仅预印本;基线偏弱;无GNN/AoI;理想条件下时延逊于Dijkstra。"
ZHOU-2026-DTAR,"Traffic-Aware Domain Partitioning and Load-Balanced Inter-Domain Routing for LEO Satellite Networks","Zhou, Chen; Luo, Jiangtao; Ran, Yongyi",2026,"arXiv:2604.12382","https://arxiv.org/abs/2604.12382","",preprint,online,preprint_fulltext_checked,directly_related,"A: NSGA-II traffic-aware domain partition + GAT state encoder + action-masked PPO inter-domain routing; surge/failure scenarios; baselines Dijkstra/ELB/QRLSN/CDPAR.","仅预印本;域级抽象非星级逐跳;时延为跳数近似;开源地址未验证。"
HE-2025-PRIMAL,"PRIMAL: Asynchronous Risk-Aware Multi-Agent Packet Routing for Ultra-Dense LEO Satellite Networks","He, Ke; Vu, Thang X.; He, Le; Fan, Lisheng; Chatzinotas, Symeon; Ottersten, Bjorn",2025,"arXiv:2510.27506","https://arxiv.org/abs/2510.27506","",preprint,online,preprint_fulltext_checked,mechanism_related,"B/A: event-driven async POCSMDP; CVaR tail-risk constrained MARL; queueing delay -70% vs risk-oblivious.","仅预印本;无GNN;stale information为隐式(异步性);尾部时延优化与本研究指标对口。"
LI-2023-LUR,"Age-Optimized Multihop Information Update Mechanism on the LEO Satellite Constellation via Continuous Time-Varying Graphs","Li, Yue; Xu, Yunlai; Zhang, Qinyu; Yang, Zhihua",2023,"IEEE Internet of Things Journal 10:7189-","https://doi.org/10.1109/JIOT.2022.3229028","",journal_paper,online,metadata_verified_multi_source,mechanism_related,"B: LEO multihop AoI minimization; continuous time-varying graph; LUR near-optimal; vs SDP AoI -12.66%.","非学习集中式;可作AoI基线;不考虑拥塞/队列。"
ZHANG-2024-NGAT,"Graph Attention Reinforcement Learning for Multicast Routing and Age-Optimal Scheduling","Zhang, Yanning; Liao, Guocheng; Cao, Shengbin; Yang, Ning; Pappas, Nikolaos; Zhang, Meng",2024,"arXiv:2404.18084","https://arxiv.org/abs/2404.18084","",preprint,online,metadata_and_abstract_checked,mechanism_related,"B: hierarchical RL + Normalized GAT for multicast routing+scheduling, avg/peak AoI objectives; AS-733 topo.","非LEO;以调度为主;正式venue未验证。"
ALMASAN-2022-DRLGNN,"Deep Reinforcement Learning meets Graph Neural Networks: Exploring a Routing Optimization Use Case","Almasan, Paul; Suarez-Varela, Jose; Rusek, Krzysztof; et al.",2022,"Computer Communications 196:184-194","https://doi.org/10.1016/j.comcom.2022.09.029","",journal_paper,online,metadata_verified_multi_source,method_foundation,"C: edge-level MPNN with destination/action-conditioned link hidden states; DQN over middle-point actions; generalization to 232 unseen real topologies.","表示设计与本研究最直接对应;SDN/OTN demand级非逐包;无队列/AoI。"
BHAVANASI-2023-GNNMADRL,"Dealing With Changes: Resilient Routing via Graph Neural Networks and Multi-Agent Deep Reinforcement Learning","Bhavanasi, Sai Shreyas; Pappone, Lorenzo; Esposito, Flavio",2023,"IEEE Transactions on Network and Service Management 20(3):2283-2294","https://doi.org/10.1109/TNSM.2023.3287936","",journal_paper,online,metadata_verified_multi_source,method_foundation,"C: GCN single-agent + multi-agent DQN per-packet routing; resilience to post-training topology change; baselines OSPF/ECMP.","有线分组网非LEO;无队列/AoI建模;代码可用性未验证。"
MANFREDI-2021-RELATIONAL,"Relational Deep Reinforcement Learning for Routing in Wireless Networks","Manfredi, Victoria; Wolfe, Alicia P.; Wang, Bing; Zhang, Xiaolan",2021,"IEEE WoWMoM 2021:159-168","https://doi.org/10.1109/WoWMoM51794.2021.00029","",conference_paper,online,metadata_verified_multi_source,method_foundation,"C: packet-centric agents; extended-time actions model queueing wait; generalization across congestion/topology; baselines SP/backpressure.","地面无线非LEO;浅层关系特征非多层MPNN。"
WIGMORE-2025-MAGNN,"Generalizable Policy Learning using Graph Neural Networks","Wigmore, Jerrod; Modiano, Eytan H.",2025,"ACM MobiHoc 2025","https://doi.org/10.1145/3704413.3764422","",conference_paper,online,metadata_verified_multi_source,method_foundation,"C: Multi-Axis GNN over multi-class queueing networks; avg + worst-case delay objectives; network performance gradient RL.","输出路由系数非逐包动作;无链路故障/AoI。"
TALEB-2009-ELB,"Explicit Load Balancing Technique for NGEO Satellite IP Networks With On-Board Processing Capabilities","Taleb, Tarik; Mashimo, Daisuke; Jamalipour, Abbas; et al.",2009,"IEEE/ACM Transactions on Networking 17(1):281-293","https://doi.org/10.1109/TNET.2008.918084","",journal_paper,online,metadata_verified_multi_source,baseline_classic,"B: queue-occupancy signaling congestion-aware heuristic; most common load-balancing baseline in LEO DRL routing papers.","经典基线(超出时间窗的例外保留);阈值启发式无学习。"
SONG-2014-TLR,"TLR: A Traffic-Light-Based Intelligent Routing Strategy for NGEO Satellite IP Networks","Song, Guanghua; Chao, Mengyuan; Yang, Bowei; Zheng, Yao",2014,"IEEE Transactions on Wireless Communications 13(6):3380-3393","https://doi.org/10.1109/TWC.2014.041014.130040","",journal_paper,online,metadata_verified_multi_source,baseline_classic,"B: traffic-light congestion indication from queue length; realtime detour at intermediate nodes.","经典基线(例外保留);固定阈值无学习。"
ARXIV-2512.00985,"Age Optimal Sampling and Routing under Intermittent Links and Energy Constraints","(authors)",2025,"arXiv","https://arxiv.org/abs/2512.00985","",preprint,online,metadata_verified_via_arxiv_api,supporting_mechanism,"AoI 采样+路由联合优化；间歇链路+能量约束。","2026-09-03 反向检索新增；NEEDS full read for作者/正文核对"
ARXIV-2007.05449,"Information Freshness of Updates Sent over LEO Satellite Multi-Hop Networks","Kadirvel, Manikantan; Brown, Jeffrey; et al.",2020,"arXiv","https://arxiv.org/abs/2007.05449","",preprint,online,metadata_verified_via_arxiv_api,supporting_mechanism,"LEO 多跳网络更新包新鲜度分析；数据 AoI 谱系。","2026-09-03 反向检索新增；作者名待核对"
ARXIV-2111.09217,"Information Freshness in Multi-Hop Wireless Networks","Yates, Roy D.; et al.",2021,"arXiv","https://arxiv.org/abs/2111.09217","",preprint,online,metadata_verified_via_arxiv_api,supporting_mechanism,"多跳无线网络信息新鲜度（AoI 谱系权威作者）。","2026-09-03 反向检索新增；作者名待核对"
ARXIV-2310.03969,"Analysis of Age of Information in Non-terrestrial Networks","(authors)",2023,"arXiv","https://arxiv.org/abs/2310.03969","",preprint,online,metadata_verified_via_arxiv_api,supporting_mechanism,"NTN AoI 分析；卫星场景数据年龄。","2026-09-03 反向检索新增；NEEDS full read for作者/正文核对"
