row_no,cand_id,version,op,status,title,conditions,difficulty,cause_hypothesis,possible_change,strongest_alternative,decision_shift,next_cheap_check,new_evidence,new_evidence_source,evidence_judgment,old_topic_match,similar_to,merged_into,supersedes_row,content_hash,source,writer,written_at,note
11,cc029fa6119,1,add,awaiting_evidence,run1-B3 队列感知价值的负载带塌陷窗：体制切换时的阈值失标定,四篇拼图：LOZANO 低载1.7ms无差异/HE 50Mbps 工程化拥塞才有大收益/LIAQ 自认隔离排队防溢出+Dijkstra 理想时延最低/WEIL 无带宽限制=SP,队列感知价值存在窄负载带；带边界隐式改道阈值失标定→过早绕行时延↑或过晚绕行丢包↑；无一测量跨体制迁移的阈值行为,训练合同单一负载→策略阈值在体制切换时失标定,负载课程/随机化训练；隐式阈值显式化（Q差敏感度）+跨体制稳定性检验；对照 ELB/TLR 切换响应速度,负载数率入状态（对症信息增补，最强对照）；ELB/TLR 阈值调参,训练合同+评估协议,单负载训练×5点负载扫描×（RL/ELB/SPF）画交付率-负载曲线找塌陷窗，2天,,,,,,,,hc029fa611910,run1/path-B 卡B3,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
12,c48df7cfe69,1,add,awaiting_evidence,run1-B4 链路剩余寿命：切换可预测性在路由观测合同中的缺位,包在出链路l上排队/转发，l 将在τ后因切换消失；τ 星历可算；现役状态向量无 time-to-link-change,epoch 边界附近『排队时延>剩余寿命』包必遇重配：被丢或事后绕远；仿真合同切换粒度差150倍（LOZANO 15s vs PRIMAL 100ms）,决策不消费剩余寿命→可预测性未兑现；STARTCAP stall/ GANNON MBB 已在传输/链路层消费可预测性（路由层缺位）,状态加 time-to-link-change 通道；或屏蔽『剩余寿命<单跳转发+队列清空』的出链路,切换前X秒冻结链路启发式（同机制，若够则降级基线比较）；传输层方案已吃干净,观测+动作屏蔽,自研仿真加统计量跑负载扫描，1天,,,,,,,,h48df7cfe6952,run1/path-B 卡B4,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
13,ce1459af4ef,1,add,awaiting_evidence,run1-C1 陈旧队列观测下的 Lyapunov drift 残差,ELB/TLR 式信令下 q̂_j(t−a_j) 年龄 a_j；裸 Lyapunov-DRL 迁移已被 Nie25/Hua25b/Yin25b 等完成（题录级）,LEO 迁移沿用两未检验前提：drift 用当前队列差计算（信令年龄使 q̂ 滞后，符号错判率随负载上升）；信令与数据同链路争容量未建模,drift 符号错判→绕行质量降；年龄感知塑形在重负载+大 T_ctrl 区间保收益,drift-plus-penalty 作 potential-based shaping（保最优策略集）+drift 用年龄折扣 q̂+观测含 a_j 字段；对照同信息权限 ELB,ELB/TLR 固定阈值中低载 60-80%；DQN+邻居队列再拿一部分；若重负载+大T_ctrl 区间不出现则卡死,奖励+观测端,核读 Nie25 或 Hua25b 全文核 drift 信息假设；leo_sim ELB 信令年龄注入扫描（与C卡D共用）,,,,,,,,he1459af4ef58,run1/path-C 卡A,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
14,c5a63c921dd,1,add,awaiting_evidence,run1-C2 跨跳信用分配：信用随包走（CTDE 断点检查）,包经 s1..sk，终态 k 跳后确定且仅目的端/丢弃点观测；各跳仅本地+一跳观测，无跨代理在线通信,价值分解两断点：回报由序列耦合决策产生（贡献跨时间非跨团队）；agent 集合逐包重组（mixing 无法绑定成员）；WEIL 通信效应很小+PRIMAL 独立学习丢包0.00%（均已回原文）,失败包责任可定位到具体跳；路径级信用把到达率变成可归因的每跳期望改善,包携带经历账本（每跳 action/obs/时刻），终态触发按路径回溯的延迟回报分配（eligibility 随跳龄衰减）,per-hop 分段加权奖励（DONG 式）约70%；终态回报均摊最简实现；PRIMAL 独立学习在无差异空间合同无增益,更新方式（不动网络结构）,leo_sim 3-5跳 toy 拓扑跑 per-hop vs path-credit 两版 DQN 看失败归因直方图,,,,,,,,h5a63c921dd11,run1/path-C 卡B,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
15,c84e4fba9ab,1,add,awaiting_evidence,run1-C3 星历先验+学习残差：把可算的从学习目标里剥出去,未来 W 时隙 ISL 通断/容量星历可预计算（时间扩展图确定性）；队列/突发不可预测只能陈旧观测,LOZANO 学习在『可计算部分』重复消耗样本；地面规划+残差假设静态图，LEO 断点=残差动作须在时间扩展图上保证无环与TTL可行（masking 由星历生成）,学习容量集中到唯一不可预测分量（队列）→突发场景到达率改善+样本需求下降,动作=星历计划路径邻域内选下一跳（masking 排除环/TTL超限）；critic 只学排队+丢弃残差回报（传播时延解析扣除）,k-SP 候选+队列阈值重选（突发场景大部分）；纯RL全状态版低载=SP 无增益,动作空间+学习目标,LOZANO 公开模拟器统计 DRL 决策与 TEG 最短路分歧率及分歧对错比例,,,,,,,,h84e4fba9abf9,run1/path-C 卡C,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
16,cc24a3f94e5,1,add,awaiting_evidence,run1-C4 路由状态信息的年龄-价值曲线：AoI 谱系换观测对象+信令成本内生化,卫星维护邻居状态 belief，信令动作与转发共享 ISL 容量（采样成本内生于被优化系统——LEO 特有）；拓扑分量可星历预测，需保鲜的只有队列分量（维度可分）,AoI 谱系四篇全是被传输数据年龄非路由状态年龄；地面 stale-info 路由文献（Fis05/Yin11/Kam22 题录）多假设独立控制信道；PRIMAL 异步产生年龄但无度量,到达率/时延对年龄的敏感度随负载出现拐点；拐点存在则『多高的信令频率值得买』成为可计算权衡,belief 端年龄折扣估计器+状态显式含年龄；实验主干=信令年龄注入扫描（受控变量）而非先上学习调度,T_ctrl 网格扫描取最优（非学习）；阈值触发信令——可能覆盖80%+,观测（+可选扩动作：信令调度）,leo_sim ELB 信令人工陈旧注入，2-3负载点×5个T_ctrl 画曲线（与C1核验共用）,,,,,,,,hc24a3f94e52c,run1/path-C 卡D,agent/20260910-topic-loop/run1,2026-09-11T00:15:13+0800,
17,cc24a3f94e5,2,revise,awaiting_evidence,路由状态新鲜度合同：邻居队列状态年龄-价值相图与年龄感知观测/塑形（家族卡）,逐包逐跳路由；决策时刻邻居队列状态年龄 a=信令/刷新间隔+传播+排队（LOZANO 28字段无年龄维度，PDF原句已核）；信令与数据同 ISL 争容量（采样成本内生化）；拓扑分量可星历预测、需保鲜的只有队列分量（维度可分）；T-C1 为直接前身（对账继承，其 9/3 零命中记录已过时）,现役方法全部把 Δ/年龄当隐式常量，无一报告敏感度：Δ过大→羊群过矫正丢包（tao25 flapping 实证锚）、Δ过小→状态交换挤占业务容量；年龄-性能曲线从未被测量（WEIL 旋钮存在未量化，已回原文）；PRIMAL 异步产生年龄无度量,三机制层竞争解释集合：H1 瓶颈位置决定/H2 流量突发决定/H3 信令成本投影（T-C1 继承）+杀手解释①ISL 传播 ms 级≪队列时间常数 ②Gbps 下信令开销可忽略 ③到达率无差异空间（PRIMAL 表I 丢包全0%）,"三机制层（不可互替）：①测量/相图层=(Δ,量化位数,负载)相图+陈旧值vs年龄修正预测对照+最优Δ随负载移动裁决（B1+C4 合并键）；②观测/策略层=age-conditioned policy/年龄折扣belief/按龄课程与增强+ELB时间戳信任衰减对照（A1+c30 并入，保留 M/M/1 toy 核验资产）；③塑形理论层=年龄折扣 drift-plus-penalty shaping 保最优策略集（C1，适用域=重载×大T_ctrl，独立生死门=Nie25/Hua25b 核读）",TAP-DAR 预测补偿（第一淘汰条件，须全文核读）；D卡10 相位随机化+滞回（对照不并入，原文待主控补核）；D卡11 事件触发双门限（预置对照）；信令频率提到决策级直接消除年龄；ELB/TLR 固定阈值,年龄 a 升格为一等实验变量+一等观测/决策变量；观测端+更新方式+（可选）信令动作,"第一核验=年龄注入×负载受控扫描（{0,1,2,5}拍/Δ×量化×负载/ELB 信令年龄注入为同一原语参数化，SatCom-TELMA/leo_sim 共用）；先裁决杀手竞争解释与差异空间前提；家族卡合并键=邻居队列状态决策时刻年龄 a",,,,,,,16,hb6e9ef8a6a75,run1/path-C 卡D,agent/20260910-topic-loop,2026-09-11T00:34:24+0800,revise: 历史碰撞审查批1：四卡合并为新鲜度家族卡（三机制层不可互替）
18,c2eb5bbbb45,2,merge,merged,run1-A1 状态信息陈旧度作为观测/奖励一等维度,逐包逐跳路由；邻居队列经信令周期刷新（LOZANO 16值无年龄维度，p12-15已核）；多代理共享快照,陈旧观测致系统性高估绕行价值+羊群；无年龄-性能曲线（WEIL 旋钮未量化）,部分可观测×策略耦合双重失败：陈旧观测被当可见噪声,"远端特征加年龄维度/年龄注入课程/错误改道惩罚；SatCom-TELMA 延迟{0,1,2,5}拍扫描",信令频率提到决策级直接消除年龄（若开销可接受，威胁最大）；年龄当普通特征拼接,观测端+训练课程,开源模拟器延迟拍扫描 1-2 天,,,,,,cc24a3f94e5,,h2eb5bbbb45c9,run1/path-A 卡A,agent/20260910-topic-loop,2026-09-11T00:34:24+0800,merge -> cc24a3f94e5: 并入观测/策略层（批1裁决）
19,c10a5284839,2,merge,merged,run1-B1 邻居状态刷新合同：新鲜度×量化开销×负载相图,逐包转发；LOZANO 28字段状态（16邻居拥塞，PDF 原句已核）；Δ=刷新周期+传播处理时延在四篇锚点论文均为隐式常量,无一报告性能对Δ的敏感度：Δ过大→羊群丢包；Δ过小→状态交换挤占业务容量（Liu2026 TAP-DAR 摘要称时延-16.16%/丢包-30%但未读原文）,相图存在随负载移动的最优Δ；直接用陈旧值vs年龄修正预测值两种观测未对比,Δ×量化位数×负载三维扫描合同化；陈旧值vs年龄修正预测两种观测对照,TAP-DAR 预测补偿（直接碰撞，须先读原文）；ELB/TLR 阈值调参,观测+更新方式（合同化）,观测注入人为延迟Δ×负载网格看交付率悬崖，半天-1天,,,,,,cc24a3f94e5,,h10a52848398b,run1/path-B 卡B1,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,merge -> cc24a3f94e5: 并入测量/相图层，保留开销/量化轴（批1裁决）
20,ce1459af4ef,2,merge,merged,run1-C1 陈旧队列观测下的 Lyapunov drift 残差,ELB/TLR 式信令下 q̂_j(t−a_j) 年龄 a_j；裸 Lyapunov-DRL 迁移已被 Nie25/Hua25b/Yin25b 等完成（题录级）,LEO 迁移沿用两未检验前提：drift 用当前队列差计算（信令年龄使 q̂ 滞后，符号错判率随负载上升）；信令与数据同链路争容量未建模,drift 符号错判→绕行质量降；年龄感知塑形在重负载+大 T_ctrl 区间保收益,drift-plus-penalty 作 potential-based shaping（保最优策略集）+drift 用年龄折扣 q̂+观测含 a_j 字段；对照同信息权限 ELB,ELB/TLR 固定阈值中低载 60-80%；DQN+邻居队列再拿一部分；若重负载+大T_ctrl 区间不出现则卡死,奖励+观测端,核读 Nie25 或 Hua25b 全文核 drift 信息假设；leo_sim ELB 信令年龄注入扫描（与C卡D共用）,,,,,,cc24a3f94e5,,he1459af4ef58,run1/path-C 卡A,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,merge -> cc24a3f94e5: 并入塑形理论层，独立生死门（批1裁决）
21,c30b20940a3,2,merge,merged,队列状态的信息龄没有进入观测：陈旧邻居状态下的过矫正振荡,邻居队列/拥塞状态按周期更新且龄期不进观测（LOZANO 28维已核）；多上游共享同一短队列快照；ISL 传播+排队+更新间隔构成龄期 Δ,陈旧状态驱动多代理羊群式过矫正振荡（flapping）；仿真可观察：决策时队短执行时已满的条件概率、切换极限环、age 分布对误判率条件曲线,部分可观测×多智能体非平稳的复合失败：龄期缺失使 TD 目标与策略梯度相对当前网络有偏（tao25 §1 flapping 实证）,观测+训练环节：每条邻居特征打时间戳，age 作为策略输入（age-conditioned policy）；训练时按龄加噪/衰减数据增强,带滞回的固定阈值规则（TLR 式）解决轻中度大半；ELB 信令加时间戳+信任衰减=同等信息；成熟 RL 慢更新+低 ε 压振荡,观测特征+策略输入（age-conditioned）；机制=对老信息降权→少过矫正切换,两队列负载均衡小算例（M/M/1+信息龄 Δ）：振荡幅度随 Δ/排空时间比的增长曲线,,,,,,cc24a3f94e5,,h30b20940a388,path-A/卡A（试运行材料标签）,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,merge -> cc24a3f94e5: 同池同题并入观测/策略层，保留 toy/增强/ELB时间戳资产（批1裁决）
